ethym,name,meaning
大,클 대 / 큰 대,big
小,작을 소,small
中,가운데 중,middle
門,문(을) 문,door
山,뫼 산,mountain
入,들 입,enter / entrance
出,날 출,(to) exit
口,입 구,mouth / opening
上,위 상,above / high
下,아래 하,underneath / below / low
日,날 일,day
月,달 월,month
年,해 년,year
內,안 내,inside
外,바깥 외,outside
人,사람 인,person
子,아들 자,person
父,아비 부,father
母,어미 모,mother
男,사내 남,man / male
女,계집 녀,woman / female
一,한 일,one
二,두이,two
三,석 삼,three
四,넉 사 / 넷 사,four
五,다섯 오,five
六,여섯 륙,six
七,일곱 칠,seven
八,여덟 팔,eight
九,아홉 구,nine
十,열 십,ten
東,동녘 동,East
西,서녘 서,West
北,북녘 북,North
南,남녘 남,South
